Y,Z
0.008229150028,-0.015415206
0.008211717746,-0.01482826878
0.008194975106,-0.01424131148
0.008178931764,-0.01365433465
0.008163559367,-0.01306733986
0.00814889742,-0.0124803269
0.008134914094,-0.01189329738
0.008121614878,-0.01130625197
0.0081090207,-0.01071919101
0.008097097561,-0.01013211603
0.008085879329,-0.009545027163
0.008075345441,-0.008957925618
0.008065490106,-0.008370812289
0.008056345528,-0.007783687459
0.008047872058,-0.007196552561
0.008040097927,-0.006609407988
0.00803301384,-0.006022254684
0.008026602726,-0.005435093642
0.008020908062,-0.004847925215
0.008015884555,-0.004260750666
0.008011554792,-0.003673570591
0.008007920751,-0.003086385799
0.008004957885,-0.002499197233
0.008002709526,-0.001912005496
0.008001136155,-0.001324811567
0.008000250908,-0.000737616196
0.008000092022,-0.0001504201946
0.008000593942,0.0004367756135
0.008001740427,0.001023970529
0.008003656901,0.001611163435
0.008006223701,0.002198353847
0.008009440677,0.002785541069
0.008013427777,0.003372723567
0.008018059424,0.003959901322
0.008023352616,0.004547073494
0.008029404527,0.005134238339
0.008036100965,0.005721396177
0.008043470306,0.006308545958
0.008051586954,0.006895685889
0.0080603481,0.007482816549
0.008069793498,0.008069936601
0.008079974781,0.008657044357
0.008090800528,0.009244140579
0.008102321864,0.009831223561
0.008114567658,0.01041829188
0.008127457871,0.01100534641
0.008141055002,0.01159238498
0.008155365155,0.01217940661
0.008170319673,0.01276641217
0.00818599243,0.013353399
0.008202366764,0.01394036668
0.008219385405,0.01452731603
0.00823713359,0.01511424377
0.008255571904,0.01570115023
0.008274654455,0.01628803611
0.008294477847,0.01687489743
0.008314979913,0.01746173542
0.008336126139,0.01804855057
0.008358024491,0.01863533813
0.008380590054,0.0192221004
0.008403799695,0.01980883756
0.008427772732,0.02039554402
0.008452401514,0.02098222331
0.008477674281,0.02156887523
0.008503721704,0.02215549326
0.0085304134,0.02274208232
0.008557759993,0.02332864122
0.008585870465,0.02391516401
0.008614624746,0.02450165558
0.008644045181,0.02508811411
0.008674217995,0.02567453442
0.008705034504,0.02626092125
0.008736528415,0.02684727209
0.008768763198,0.02743358267
0.008801641555,0.02801985751
0.008835208546,0.02860609332
0.0088695049,0.02919228692
0.008904444698,0.02977844251
0.008940084351,0.03036455597
0.008976441851,0.03095062534
0.009013442659,0.03153665444
0.009051154528,0.03212263821
0.009089572725,0.03270857611
0.009128634084,0.03329447148
0.009168417697,0.03388031824
0.009208896116,0.03446611741
0.009250017543,0.0350518718
0.009291872404,0.03563757424
0.009334410544,0.03622322744
0.009377591531,0.03680883361
0.009421517116,0.03739438439
0.009466114451,0.03797988438
0.009511354465,0.03856533508
0.009566962657,0.03914985926
0.009643980837,0.0397319491
0.009742354585,0.04031081262
0.009861910806,0.0408856752
0.01000241607,0.04145577954
